category,descrip,name,topics,type,views,views_norm
,,"Kirkland, Prop 1 - General Election, 2012",[],Chart,1753.0,0.04959402495261267
,,"State Senator, District 41 - General Election, 2012",[],Filtered View,1746.0,0.049395988344131045
,,"State Treasurer - General Election, 2012",[],Chart,1724.0,0.04877358757461737
,,"Kirkland, Prop 2 - General Election 2012",[],Chart,1715.0,0.04851896907799813
,,"Kirkland, Prop 1 table - General Election, 2012",[],Filtered View,1707.0,0.0482926415254477
,,"Kirkland, Prop 2 table - General Election, 2012",[],Filtered View,1684.0,0.047641949811865224
,,"SJR 8223 table - General Election, 2012",[],Filtered View,1681.0,0.04755707697965881
Government,,February 2013 Special : Seattle School District 1 Proposition No 2 Operations Levy,[],Chart,1679.0,0.047500495091521204
,,"Treasurer table - General Election, 2012",[],Filtered View,1672.0,0.04730245848303958
,,"Snoqualmie Prop 1 - General Election, 2012",[],Chart,1665.0,0.047104421874557954
,,"Auditor table - General Elections, 2012",[],Filtered View,1664.0,0.04707613093048915
,,"Joint Resolution No. 8223 - General Election, 2012",[],Chart,1653.0,0.04676493054573231
,,"Supreme Court Justice 2 - General Election, 2012",[],Chart,1635.0,0.04625569355249385
Government,"Election night abstract - results by precinct - November 3, 2015",November 3 Election Night Results By Precinct,[],Dataset,1619.0,0.04580303844739299
,Results data for April 23 special election in King County.,KC Fire Protection District 44,['elections'],Chart,1605.0,0.04540696523042974
,,"Supreme Court Justice 2 table - General Election, 2012",[],Filtered View,1595.0,0.045124055789741706
,,"Snoqualmie Prop 1 table - General Election, 2012",[],Filtered View,1593.0,0.045067473901604094
,,"Superintendent of Public Instruction - General Election, 2012",[],Chart,1574.0,0.04452994596429683
,,"State Representative, District 43 Position 2 - General Election, 2012",[],Filtered View,1560.0,0.04413387274733358
,,"State Representative, District 43 Position 2 - General Election, 2012",[],Chart,1557.0,0.04404899991512717
,,"State Senator, District 1 - General Election, 2012",[],Filtered View,1538.0,0.0435114719778199
,,"Congressional District 1, short-term - General Election, 2012",[],Chart,1533.0,0.043370017257475885
,,"Congressional District 1, short-term - General Election, 2012",[],Filtered View,1525.0,0.04314368970492545
Government,"Ecanvass results by precinct; updated Dec. 11, 2013 to reflect recount for Auburn City Council Position No. 6 and SeaTac Proposition No. 1.",SET Council,"['ecanvass', 'election']",Filtered View,1511.0,0.0427476164879622
,,"Supreme Court Justice 8 - General Election, 2012",[],Chart,1507.0,0.04263445271168699
,,"Superintendent Public Instruction table - General Election, 2012",[],Filtered View,1507.0,0.04263445271168699
,,"Shoreline Prop 1 - General Election, 2012",[],Chart,1504.0,0.042549579879480576
,,"State Senator, District 1 - General Election, 2012",[],Chart,1503.0,0.04252128893541177
,,"KC Fire, District 20 - General Election, 2012",[],Chart,1503.0,0.04252128893541177
Government,,Aug 2013 Primary : Burien Council Position 3,"['elections', 'king county']",Chart,1500.0,0.042436416103205366
,,"State Senator, District 41 - General Election, 2012",[],Chart,1490.0,0.042153506662517326
,,"Supreme Court Justice 8 table - General Election, 2012",[],Filtered View,1489.0,0.042125215718448523
,,"Shoreline Prop 1, table - General Election, 2012",[],Filtered View,1474.0,0.04170085155741647
,,"SHB 2590, Advisory Vote table - General Election 2012",[],Filtered View,1461.0,0.041333069284522024
,,"KC Fire District 20, table - General Election, 2012",[],Filtered View,1440.0,0.04073895945907715
,,"Normandy Park, Prop 1- General Election, 2012",[],Chart,1435.0,0.04059750473873313
,,"Substitute House Bill 2590 - General Election, 2012",[],Chart,1428.0,0.040399468130251505
,,"Normandy Park table - General Election, 2012",[],Filtered View,1401.0,0.03963561264039381
Government,,Aug 2013 Primary : Federal Way Council Position 2,"['elections', 'king county']",Chart,1391.0,0.039352703199705776
,,"State Representative, District 45 Position 1 - General Election, 2012",[],Chart,1384.0,0.03915466659122415
,,"State Representative, District 45 Position 1 - General Election, 2012",[],Filtered View,1379.0,0.03901321187088013
Government,,Aug 2013 Primary : SeaTac Council Position 2,"['elections', 'king county']",Chart,1359.0,0.03844739298950406
Government,,April 2015 results schedule : calendar view,[],Calendar,1348.0,0.038136192604747224
,,"State Representative, District 30 Position 2 - General Election, 2012",[],Chart,1344.0,0.03802302882847201
Government,eCanvass results from April 2015 special election,April 2015 results - eCanvass,"['king county', 'results', 'election']",Dataset,1341.0,0.03793815599626559
,,"State Representative, District 30 Position 2 - General Election, 2012",[],Filtered View,1325.0,0.03748550089116474
,,"State Representative, District 46 Position 1 - General Election, 2012",[],Chart,1313.0,0.03714600956233909
Government,,Aug 2013 Primary : Burien Council Position 1,"['elections', 'king county']",Chart,1310.0,0.037061136730132685
,,"State Representative, District 46 Position 1 - General Election, 2012",[],Filtered View,1292.0,0.03655189973689422
Government,,Aug 2013 Primary : Federal Way Council Position 6,"['elections', 'king county']",Chart,1274.0,0.03604266274365576
Government,,"Aug 2013 Primary : Ronald Water District, Position 2","['elections', 'king county']",Chart,1271.0,0.035957789911449344
,,"State Representative, District 11 Position 1 - General Election, 2012",[],Chart,1238.0,0.035024188757178824
Government,,February 2015 special election Ecanvass,"['king county', 'elections']",Dataset,1232.0,0.03485444309276601
Government,,Aug 2013 Primary : Burien Council Position 7,"['elections', 'king county']",Chart,1228.0,0.03474127931649079
,,April 2014 - VI - Drop Boxes and Vans,[],Filtered View,1200.0,0.03394913288256429
,,"Mercer Island, Prop 1 - General Election, 2012",[],Chart,1191.0,0.03369451438594506
Government,,33rd Primary KK,['elections'],Filtered View,1181.0,0.03341160494525702
,,"State Representative, District 47 Position 2 - General Election, 2012",[],Filtered View,1175.0,0.0332418592808442
Government,,zzz,"['king county', '2014', 'elections']",Filtered View,1170.0,0.03310040456050018
,,"State Representative, District 47 Position 2 - General Election, 2012",[],Chart,1169.0,0.03307211361643138
,,"Mercer Island table - General Election, 2012",[],Filtered View,1169.0,0.03307211361643138
Government,,"Aug 2013 Primary : Kent School District 415, Director District 5","['elections', 'king county']",Chart,1166.0,0.03298724078422497
Government,,April 2014 - CH - Drop Boxes and Vans,[],Filtered View,1158.0,0.03276091323167454
,,"State Representative, District 5 Position 2 - General Election, 2012",[],Chart,1156.0,0.03270433134353693
Government,,Aug 2013 Primary : Auburn Council,"['elections', 'king county']",Chart,1150.0,0.03253458567912411
Government,,33rd Primary Mia,['elections'],Filtered View,1132.0,0.03202534868588565
Government,,Feb 2016 Election Night Results - Abstract by precinct,[],Dataset,1129.0,0.031940475853679234
Government,Ballot drop boxes and temporary collection points (vans) for the November general election.,List of Current Ballot Return Locations,[],Filtered View,1118.0,0.0316292754689224
Government,,"Aug 2013 Primary : Ronald Water District, Position 4","['elections', 'king county']",Chart,1101.0,0.03114832941975274
,,"State Representative, District 5 Position 2 - General Election, 2012",[],Filtered View,1099.0,0.03109174753161513
Government,,"Aug 2013 Primary : KC Water District 49, Position 2","['elections', 'king county']",Chart,1098.0,0.031063456587546327
,,2012 General Election,[],Dataset,1093.0,0.030922001867202308
,,"State Representative, District 36 Position 1 - General Election, 2012",[],Chart,1083.0,0.03063909242651427
Government,,"Aug 2013 Primary : Snoqualmie Valley School District 410, Director District 4","['elections', 'king county']",Chart,1079.0,0.030525928650239058
Government,Final precinct-by-precinct election results,ecanvass - April 2016 special election,['elections'],Dataset,1078.0,0.030497637706170255
Government,,33rd Senate Primary,['elections'],Filtered View,1070.0,0.030271310153619828
Government,,Aug 2013 Primary : Kenmore Council Position 4,"['elections', 'king county']",Chart,1068.0,0.03021472826548222
Government,,Presidential Primary 2016 - Election-night abstract-by-precinct,[],Dataset,1064.0,0.030101564489207006
,,"State Representative, District 36 Position 1 - General Election, 2012",[],Filtered View,1058.0,0.029931818824794183
Government,Subject to change.,Feb 2015 Results Schedule Calendar,[],Calendar,1032.0,0.02919625427900529
,,"Court of Appeals 4 - General Election, 2012",[],Chart,1030.0,0.029139672390867684
Government,,Aug 2013 Primary : Des Moines Prop 1,"['elections', 'king county']",Chart,1030.0,0.029139672390867684
,,"State Representative, District 48 Position 1 - General Election, 2012",[],Filtered View,1019.0,0.028828472006110845
Government,Ballot drop box and van locations and dates for the April 2014 election.,"August primary 2014 : Map, VI - Where to Return Ballots",[],Map,1011.0,0.028602144453560414
,,"State Representative, District 43 Position 1 - General Election, 2012",[],Chart,994.0,0.028121198404390754
,,"State Representative, District 48 Position 2 - General Election, 2012",[],Chart,991.0,0.028036325572184342
Government,,"Aug 2013 Primary : Federal Way School District 210, Director District 4","['elections', 'king county']",Chart,989.0,0.027979743684046737
,,"State Representative, District 48 Position 1 - General Election, 2012",[],Chart,989.0,0.027979743684046737
,,"State Representative, District 41 Position 1 - General Election, 2012",[],Chart,983.0,0.027809998019633915
Government,,Aug 2013 Primary : Kenmore Council Position 2,"['elections', 'king county']",Chart,982.0,0.027781707075565112
Government,,5th LD Precincts - 2016 Primary,['election results'],Filtered View,981.0,0.027753416131496306
,,"State Representative, District 43 Position 1 - General Election, 2012",[],Filtered View,980.0,0.027725125187427504
Government,Ballot drop box and van locations and dates for the April 2014 election.,"August Primary 2014 : Map, CH - Where to Return Ballots",[],Map,978.0,0.0276685432992899
,,"West Electoral District Judge, table - General Election, 2012",[],Filtered View,977.0,0.027640252355221093
Government,,33rd Primary Tina,['elections'],Filtered View,976.0,0.02761196141115229
,,"State Representative, District 48 Position 2 - General Election, 2012",[],Filtered View,974.0,0.02755537952301468
Government,,Leg 5 Final Precinct Data,[],Filtered View,974.0,0.02755537952301468
,,"State Representative, District 46 Position 2 - General Election, 2012",[],Chart,972.0,0.027498797634877076
,,"State Representative, District 41 Position 1 - General Election, 2012",[],Filtered View,970.0,0.027442215746739468
,,"Si View Park District - General Election, 2012",[],Chart,969.0,0.027413924802670665
,,"Si View Prop 1 table, General Election, 2012",[],Filtered View,969.0,0.027413924802670665
Government,,Leg 5 Final Precinct Data,[],Chart,966.0,0.027329051970464254
Government,,Aug 2013 Primary : Bothell Council Position 5,"['elections', 'king county']",Chart,963.0,0.027244179138257843
,Results data for April 23 special election in King County.,Woodinville Fire and Rescue,['elections'],Chart,956.0,0.027046142529776218
,,"State Representative, District 1 Position 1 - General Election, 2012",[],Filtered View,949.0,0.026848105921294593
,,"State Representative, District 46 Position 2 - General Election, 2012",[],Filtered View,948.0,0.02681981497722579
,,"District Court 1 - General Election, 2012",[],Chart,947.0,0.026791524033156988
,,"State Representative, District 5 Position 1 - General Election, 2012",[],Chart,945.0,0.02673494214501938
,,"State Representative, District 1 Position 1 - General Election, 2012",[],Chart,941.0,0.026621778368744166
,,"State Representative, District 5 Position 1 - General Election, 2012",[],Filtered View,939.0,0.026565196480606557
,,"State Senator, District 11 - General Election, 2012",[],Chart,919.0,0.025999377599230485
,Results data for April 23 special election in King County.,KC Fire Protection District 40,['elections'],Chart,917.0,0.02594279571109288
Government,,"Aug 2013 Primary : Northshore School District 417, Director District 1","['elections', 'king county']",Chart,915.0,0.02588621382295527
Government,"This is the dataset for November 5, 2013 general election results.",2013 General Elections Results,"['king county', 'results', 'elections']",Dataset,915.0,0.02588621382295527
,,Bar Chart Master Final,[],Chart,911.0,0.025773050046680058
,,"Court of Appeals, D1 D1 Justice 4 table - General Election 2012",[],Filtered View,909.0,0.02571646815854245
Government,,Aug 2013 Primary : Kenmore Council Position 6,"['elections', 'king county']",Chart,899.0,0.025433558717854413
,,"State Senator, District 11 - General Election, 2012",[],Filtered View,896.0,0.025348685885648006
,,"State Representative, District 45 Position 2 - General Election, 2012",[],Filtered View,896.0,0.025348685885648006
,,"State Representative, District 45 Position 2 - General Election, 2012",[],Chart,885.0,0.025037485500891164
Government,,SeaTac Proposition 1 - November 2013 Recount - Chart,['elections'],Chart,884.0,0.02500919455682236
,,"KC Fire District 40 - General Election, 2012",[],Chart,883.0,0.02498090361275356
,,"Court of Appeals 7 - General Election, 2012",[],Chart,877.0,0.024811157948340736
,,"KC Fire District 40, table - General Election, 2012",[],Filtered View,870.0,0.02461312133985911
,,Master Bar Chart,[],Chart,863.0,0.024415084731377486
Government,,Aug 2013 Primary : Des Moines Council,"['elections', 'king county']",Chart,861.0,0.024358502843239878
,,"KC Fire District 45 - General Election, 2012",[],Chart,835.0,0.023622938297450987
Government,"Ballot drop boxes and temporary collection points (vans) for June 25, 2013 special election",August 2013: Drop Boxes and Vans,[],Filtered View,830.0,0.023481483577106967
Government,,February 2013 Special : Seattle School District 1 - Proposition No. 2 capital levy,[],Chart,823.0,0.023283446968625342
,,testing icons- purple box,[],Map,819.0,0.02317028319235013
